id,state,treated,post,fte,chain_BK,chain_KFC,chain_WD,co_owned,southj,centralj,northj,pa1,pa2,shore,did
46,PA,0,0,40.5,1,0,0,0,0,0,0,1,0,0,0
46,PA,0,1,24.0,1,0,0,0,0,0,0,1,0,0,0
49,PA,0,0,13.75,0,1,0,0,0,0,0,1,0,0,0
49,PA,0,1,11.5,0,1,0,0,0,0,0,1,0,0,0
506,PA,0,0,8.5,0,1,0,1,0,0,0,1,0,0,0
506,PA,0,1,10.5,0,1,0,1,0,0,0,1,0,0,0
56,PA,0,0,34.0,0,0,1,1,0,0,0,1,0,0,0
56,PA,0,1,20.0,0,0,1,1,0,0,0,1,0,0,0
61,PA,0,0,24.0,0,0,1,1,0,0,0,1,0,0,0
61,PA,0,1,35.5,0,0,1,1,0,0,0,1,0,0,0
62,PA,0,0,20.5,0,0,1,1,0,0,0,1,0,0,0
445,PA,0,0,70.5,1,0,0,0,0,0,0,0,1,0,0
445,PA,0,1,29.0,1,0,0,0,0,0,0,0,1,0,0
451,PA,0,0,23.5,1,0,0,0,0,0,0,0,1,0,0
451,PA,0,1,36.5,1,0,0,0,0,0,0,0,1,0,0
455,PA,0,0,11.0,0,1,0,1,0,0,0,0,1,0,0
455,PA,0,1,11.0,0,1,0,1,0,0,0,0,1,0,0
458,PA,0,0,9.0,0,1,0,1,0,0,0,1,0,0,0
458,PA,0,1,8.5,0,1,0,1,0,0,0,1,0,0,0
462,PA,0,0,15.5,0,0,0,1,0,0,0,0,1,0,0
462,PA,0,1,17.5,0,0,0,1,0,0,0,0,1,0,0
468,PA,0,0,58.0,1,0,0,0,0,0,0,0,1,0,0
468,PA,0,1,29.0,1,0,0,0,0,0,0,0,1,0,0
469,PA,0,0,26.5,1,0,0,0,0,0,0,0,1,0,0
469,PA,0,1,30.5,1,0,0,0,0,0,0,0,1,0,0
470,PA,0,0,28.5,1,0,0,0,0,0,0,0,1,0,0
470,PA,0,1,26.0,1,0,0,0,0,0,0,0,1,0,0
474,PA,0,0,13.5,1,0,0,0,0,0,0,0,1,0,0
474,PA,0,1,18.0,1,0,0,0,0,0,0,0,1,0,0
481,PA,0,0,16.75,0,1,0,1,0,0,0,0,1,0,0
481,PA,0,1,20.0,0,1,0,1,0,0,0,0,1,0,0
483,PA,0,0,9.5,0,1,0,1,0,0,0,0,1,0,0
483,PA,0,1,13.5,0,1,0,1,0,0,0,0,1,0,0
487,PA,0,0,15.0,0,0,0,1,0,0,0,0,1,0,0
487,PA,0,1,19.0,0,0,0,1,0,0,0,0,1,0,0
488,PA,0,0,29.5,0,0,0,0,0,0,0,0,1,0,0
488,PA,0,1,15.5,0,0,0,0,0,0,0,0,1,0,0
489,PA,0,0,18.5,0,0,0,0,0,0,0,0,1,0,0
489,PA,0,1,14.5,0,0,0,0,0,0,0,0,1,0,0
490,PA,0,0,20.25,0,0,0,1,0,0,0,0,1,0,0
490,PA,0,1,14.0,0,0,0,1,0,0,0,0,1,0,0
493,PA,0,0,36.0,0,0,0,1,0,0,0,1,0,0,0
493,PA,0,1,19.0,0,0,0,1,0,0,0,1,0,0,0
495,PA,0,0,21.0,0,0,0,0,0,0,0,0,1,0,0
495,PA,0,1,21.0,0,0,0,0,0,0,0,0,1,0,0
496,PA,0,0,20.5,0,0,0,1,0,0,0,0,1,0,0
496,PA,0,1,18.0,0,0,0,1,0,0,0,0,1,0,0
499,PA,0,0,19.0,0,0,1,1,0,0,0,0,1,0,0
499,PA,0,1,20.5,0,0,1,1,0,0,0,0,1,0,0
509,PA,0,0,14.0,0,0,0,1,0,0,0,0,1,0,0
509,PA,0,1,13.5,0,0,0,1,0,0,0,0,1,0,0
515,PA,0,0,19.0,0,0,0,1,0,0,0,0,1,0,0
515,PA,0,1,17.5,0,0,0,1,0,0,0,0,1,0,0
37,PA,0,0,32.5,1,0,0,0,0,0,0,1,0,0,0
37,PA,0,1,25.5,1,0,0,0,0,0,0,1,0,0,0
39,PA,0,0,19.0,1,0,0,0,0,0,0,1,0,0,0
39,PA,0,1,15.5,1,0,0,0,0,0,0,1,0,0,0
40,PA,0,0,27.0,1,0,0,0,0,0,0,1,0,0,0
40,PA,0,1,25.5,1,0,0,0,0,0,0,1,0,0,0
41,PA,0,0,19.5,1,0,0,0,0,0,0,1,0,0,0
41,PA,0,1,27.0,1,0,0,0,0,0,0,1,0,0,0
42,PA,0,0,24.0,1,0,0,0,0,0,0,1,0,0,0
42,PA,0,1,16.0,1,0,0,0,0,0,0,1,0,0,0
45,PA,0,0,18.0,1,0,0,0,0,0,0,1,0,0,0
45,PA,0,1,19.0,1,0,0,0,0,0,0,1,0,0,0
47,PA,0,0,32.5,1,0,0,0,0,0,0,1,0,0,0
47,PA,0,1,24.5,1,0,0,0,0,0,0,1,0,0,0
48,PA,0,0,19.0,1,0,0,0,0,0,0,1,0,0,0
48,PA,0,1,25.0,1,0,0,0,0,0,0,1,0,0,0
50,PA,0,0,14.0,0,1,0,0,0,0,0,1,0,0,0
50,PA,0,1,17.0,0,1,0,0,0,0,0,1,0,0,0
51,PA,0,0,10.5,0,1,0,0,0,0,0,1,0,0,0
51,PA,0,1,16.5,0,1,0,0,0,0,0,1,0,0,0
57,PA,0,0,38.0,0,0,1,1,0,0,0,1,0,0,0
57,PA,0,1,20.0,0,0,1,1,0,0,0,1,0,0,0
58,PA,0,0,23.5,0,0,1,1,0,0,0,1,0,0,0
58,PA,0,1,18.0,0,0,1,1,0,0,0,1,0,0,0
59,PA,0,0,10.5,0,0,1,0,0,0,0,1,0,0,0
59,PA,0,1,12.0,0,0,1,0,0,0,0,1,0,0,0
60,PA,0,0,25.0,0,0,1,0,0,0,0,1,0,0,0
60,PA,0,1,25.0,0,0,1,0,0,0,0,1,0,0,0
407,PA,0,0,11.0,0,1,0,1,0,0,0,0,1,0,0
407,PA,0,1,11.0,0,1,0,1,0,0,0,0,1,0,0
430,PA,0,0,36.5,1,0,0,0,0,0,0,1,0,0,0
430,PA,0,1,27.0,1,0,0,0,0,0,0,1,0,0,0
432,PA,0,0,52.5,1,0,0,0,0,0,0,1,0,0,0
432,PA,0,1,34.0,1,0,0,0,0,0,0,1,0,0,0
433,PA,0,0,29.0,1,0,0,0,0,0,0,1,0,0,0
433,PA,0,1,25.0,1,0,0,0,0,0,0,1,0,0,0
434,PA,0,0,45.0,1,0,0,0,0,0,0,1,0,0,0
434,PA,0,1,37.5,1,0,0,0,0,0,0,1,0,0,0
435,PA,0,0,22.75,1,0,0,0,0,0,0,1,0,0,0
435,PA,0,1,21.0,1,0,0,0,0,0,0,1,0,0,0
438,PA,0,0,7.5,0,1,0,0,0,0,0,1,0,0,0
438,PA,0,1,9.5,0,1,0,0,0,0,0,1,0,0,0
440,PA,0,0,15.5,0,0,1,0,0,0,0,1,0,0,0
440,PA,0,1,18.0,0,0,1,0,0,0,0,1,0,0,0
441,PA,0,0,38.0,0,0,1,0,0,0,0,1,0,0,0
